[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 2, 0, 0]]; ('drop', 4)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 2, 0, 0]]; ('drop', 4)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 2, 0, 0]]; ('drop', 1)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 1, 0, 1, 2, 0, 0]]; ('drop', 1)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [0, 1, 0, 1, 2, 0, 0]]; ('drop', 0)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [1, 1, 0, 1, 2, 0, 0]]; ('drop', 2)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [1, 1, 2, 1, 2, 0, 0]]; ('drop', 4)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [1, 1, 2, 1, 2, 0, 0]]; ('drop', 1)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 2, 0, 0], [0, 2, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [1, 1, 2, 1, 2, 0, 0]]; ('drop', 1)
[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 2, 2, 0, 0], [0, 2, 0, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0, 0], [1, 1, 2, 1, 2, 0, 0]]; ('drop', 0)
